epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.74595,1.32772,4.61393,1.3065,0.00125,0.09167,0.01365,0.00142,1.02465,4.38214,1.13033,2.5e-05,2.5e-05,2.5e-05
2,7.28605,1.14391,4.43133,1.17168,0.00137,0.09167,0.00653,0.00099,0.87055,4.18809,0.96023,5.51362e-05,5.51362e-05,5.51362e-05
3,9.58942,0.99016,4.24639,1.05086,0.00122,0.075,0.00099,0.00043,0.81212,4.14434,0.91081,8.4035e-05,8.4035e-05,8.4035e-05
4,12.0465,0.95055,4.17603,0.98908,0.00105,0.11389,0.00117,0.00085,0.74961,4.10058,0.87521,0.000111696,0.000111696,0.000111696
5,14.4778,0.91917,3.91567,0.93673,0.01205,0.39583,0.09107,0.0809,0.75003,3.93278,0.84528,0.00013812,0.00013812,0.00013812
6,16.6873,0.91437,3.74277,0.92337,0.0111,0.52917,0.15584,0.13437,0.74178,3.82709,0.8296,0.000163306,0.000163306,0.000163306
7,18.945,0.89378,3.58699,0.9268,0.01987,0.69861,0.18539,0.16074,0.7259,3.71868,0.81441,0.000187255,0.000187255,0.000187255
8,21.2448,0.85007,3.41703,0.90334,0.0253,0.81944,0.23456,0.1963,0.74784,3.70153,0.81527,0.000209966,0.000209966,0.000209966
9,23.4791,0.87327,3.20524,0.93185,0.02635,0.86111,0.29673,0.23336,0.78825,3.67155,0.82954,0.00023144,0.00023144,0.00023144
10,25.8379,0.86697,3.21182,0.90613,0.02262,0.88889,0.33792,0.25554,0.81083,3.54282,0.87715,0.000251676,0.000251676,0.000251676
11,28.2727,0.91856,2.95756,0.97485,0.02124,0.94444,0.47298,0.36551,0.79744,3.43796,0.89379,0.000270675,0.000270675,0.000270675
12,30.4705,0.84765,2.88405,0.92406,0.02207,1,0.55277,0.43689,0.80758,3.33064,0.89844,0.000288436,0.000288436,0.000288436
13,32.6609,0.88807,2.70135,0.94229,0.02091,1,0.59118,0.48192,0.81698,3.22046,0.88301,0.00030496,0.00030496,0.00030496
14,34.7564,0.90397,2.46377,0.9677,0.02091,1,0.59118,0.48192,0.81698,3.22046,0.88301,0.000320246,0.000320246,0.000320246
15,37.0372,0.93488,2.49848,0.96942,1,0.10849,0.6508,0.51232,0.84005,3.08092,0.89643,0.000334295,0.000334295,0.000334295
16,39.2189,0.88705,2.15458,0.98303,0.99902,0.18578,0.71228,0.56248,0.83413,2.86536,0.91492,0.000347106,0.000347106,0.000347106
17,41.409,0.90627,2.30522,0.96164,0.9805,0.24841,0.80724,0.64896,0.85153,2.60654,0.93245,0.00035868,0.00035868,0.00035868
18,43.7271,0.94869,2.16018,0.97655,0.9805,0.24841,0.80724,0.64896,0.85153,2.60654,0.93245,0.000369016,0.000369016,0.000369016
19,45.9799,0.87106,2.09143,0.91705,0.9082,0.51175,0.83553,0.67186,0.798,2.38974,0.92144,0.000378115,0.000378115,0.000378115
20,48.2297,0.8959,1.92289,0.94002,0.9027,0.59293,0.89017,0.72341,0.75439,2.13843,0.91538,0.000385976,0.000385976,0.000385976
21,50.505,0.90022,1.84292,0.97427,0.9027,0.59293,0.89017,0.72341,0.75439,2.13843,0.91538,0.0003775,0.0003775,0.0003775
22,52.8215,0.92596,1.72388,0.94636,0.91796,0.69865,0.93919,0.75843,0.78179,1.83696,0.92142,0.000365125,0.000365125,0.000365125
23,55.1,0.90313,1.73999,0.95653,0.89964,0.84504,0.94184,0.76079,0.79462,1.55018,0.9321,0.00035275,0.00035275,0.00035275
24,57.3787,0.90212,1.67513,0.94022,0.89964,0.84504,0.94184,0.76079,0.79462,1.55018,0.9321,0.000340375,0.000340375,0.000340375
25,59.564,0.8465,1.56385,0.93329,0.90527,0.89617,0.93694,0.75932,0.77765,1.31636,0.94087,0.000328,0.000328,0.000328
26,61.6776,0.87572,1.64623,0.98025,0.90527,0.89617,0.93694,0.75932,0.77765,1.31636,0.94087,0.000315625,0.000315625,0.000315625
27,63.8977,0.82745,1.38822,0.92949,0.87515,0.89038,0.96736,0.78089,0.77502,1.19472,0.94247,0.00030325,0.00030325,0.00030325
28,66.1578,0.86031,1.44866,0.96064,0.78705,0.93423,0.98111,0.79369,0.77668,1.13193,0.94206,0.000290875,0.000290875,0.000290875
29,68.2897,0.85558,1.47458,0.94695,0.78705,0.93423,0.98111,0.79369,0.77668,1.13193,0.94206,0.0002785,0.0002785,0.0002785
30,70.722,0.80896,1.32665,0.95399,0.85462,0.92816,0.98111,0.80561,0.76544,1.04737,0.93488,0.000266125,0.000266125,0.000266125
31,72.9191,0.83024,1.36035,0.94488,0.84963,0.98914,0.995,0.83257,0.74206,0.94658,0.92867,0.00025375,0.00025375,0.00025375
32,75.0263,0.80835,1.26633,0.92656,0.84963,0.98914,0.995,0.83257,0.74206,0.94658,0.92867,0.000241375,0.000241375,0.000241375
33,77.201,0.87682,1.37531,0.93322,0.83249,1,0.995,0.83379,0.72843,0.8732,0.93217,0.000229,0.000229,0.000229
34,79.34,0.84586,1.25397,0.94039,0.83249,1,0.995,0.83379,0.72843,0.8732,0.93217,0.000216625,0.000216625,0.000216625
35,81.5352,0.89445,1.31492,0.96392,0.86652,1,0.995,0.83476,0.73607,0.83977,0.93716,0.00020425,0.00020425,0.00020425
36,83.725,0.83931,1.26684,0.93515,0.91525,0.99796,0.995,0.82936,0.74104,0.8226,0.94236,0.000191875,0.000191875,0.000191875
37,86.0016,0.823,1.16372,0.93644,0.91525,0.99796,0.995,0.82936,0.74104,0.8226,0.94236,0.0001795,0.0001795,0.0001795
38,88.3044,0.82591,1.22702,0.92032,0.94125,0.98868,0.995,0.83194,0.74891,0.80749,0.94567,0.000167125,0.000167125,0.000167125
39,90.5556,0.75943,1.13213,0.92076,0.95569,0.98292,0.995,0.83581,0.74765,0.78817,0.9447,0.00015475,0.00015475,0.00015475
40,92.7448,0.79785,1.15741,0.93296,0.95569,0.98292,0.995,0.83581,0.74765,0.78817,0.9447,0.000142375,0.000142375,0.000142375
41,138.634,0.77426,1.13066,0.95022,0.93953,0.99076,0.995,0.84041,0.74351,0.77151,0.94155,0.00013,0.00013,0.00013
42,140.753,0.75105,1.0792,0.93452,0.93953,0.99076,0.995,0.84041,0.74351,0.77151,0.94155,0.000117625,0.000117625,0.000117625
43,143.094,0.75342,1.14828,0.91295,0.92895,0.99619,0.995,0.84592,0.73999,0.75165,0.93941,0.00010525,0.00010525,0.00010525
44,145.218,0.74472,1.09212,0.92622,0.92488,0.9957,0.995,0.83674,0.74562,0.74663,0.93943,9.2875e-05,9.2875e-05,9.2875e-05
45,147.35,0.7738,1.1457,0.91947,0.92488,0.9957,0.995,0.83674,0.74562,0.74663,0.93943,8.05e-05,8.05e-05,8.05e-05
46,149.496,0.73157,1.09228,0.90111,0.93247,0.99353,0.995,0.83482,0.74762,0.73423,0.93971,6.8125e-05,6.8125e-05,6.8125e-05
47,151.726,0.72033,1.03774,0.92001,0.94675,0.9837,0.995,0.83418,0.7429,0.72299,0.93979,5.575e-05,5.575e-05,5.575e-05
48,154.028,0.74756,1.09548,0.92193,0.94675,0.9837,0.995,0.83418,0.7429,0.72299,0.93979,4.3375e-05,4.3375e-05,4.3375e-05
49,156.413,0.75833,1.12204,0.92072,0.95876,0.97635,0.995,0.83596,0.73318,0.71148,0.93832,3.1e-05,3.1e-05,3.1e-05
50,158.503,0.75899,1.04849,0.94011,0.95876,0.97635,0.995,0.83596,0.73318,0.71148,0.93832,1.8625e-05,1.8625e-05,1.8625e-05
